Grandson;46.806274;6.641932
Travers;46.942407;6.676558
Solliat-Golisse;46.614436;6.239035
Gorgier-St-Aubin;46.89907;6.781022
Calde;45.945683;8.663471
Solingen Hbf;51.160766;7.004188
Zug Schutzengel;47.173727;8.50722
Niederweningen;47.5112;8.369604
Baar Neufeld;47.188487;8.517756
Mettmenstetten;47.244076;8.457366
Berlin Hbf (Tief);52.525589;13.369549
Gallarate;45.660455;8.79883
Lamone-Cadempino;46.039719;8.932122
Egerkingen;47.314857;7.798951
Minden (Westf);52.290135;8.934729
Koblenz;47.600337;8.227027
Landeck-Zams;47.148242;10.578389
Couvet;46.92335;6.635666
Oberentfelden;47.356477;8.048375
Monza;45.574824;9.273686
Aesch;47.467737;7.603058
Colmar;48.072477;7.346542
Les Deurres;46.985519;6.899149
Sonceboz-Sombeval;47.195139;7.168753
Fleurier;46.904859;6.581578
Sissach;47.462748;7.812022
Kitzbühel;47.454109;12.391046
St.Johann in Tirol;47.519622;12.430778
Marseille-Saint-Charles;43.303816;5.38195
Frick;47.507343;8.013074
Hamm (Westf);51.678077;7.807824
Sursee;47.170787;8.097879
Luzern;47.05017;8.310168
Stuttgart Hbf;48.784081;9.181636
Lyss;47.076319;7.306288
Radstadt;47.384236;13.46781
Noiraigue;46.954911;6.721801
Mouchard;46.976818;5.799454
Andelfingen;47.593756;8.677979
Bossière;46.509738;6.699328
Emmendingen;48.119455;7.847511
Langnau;46.939243;7.784182
Haagen, Zentrum;47.637129;7.679224
La Neuveville;47.062827;7.095222
Murgenthal;47.265381;7.832103
Müllheim-Wigoltingen;47.588165;9.015497
Zürich Stadelhofen;47.366608;8.548463
Signau;46.919628;7.725446
Klingnau;47.582088;8.248816
Mendrisio S. Martino;45.877653;8.983028
Küsnacht ZH;47.319154;8.580617
Celle;52.621172;10.062705
Gelfingen;47.213558;8.264808
Le Landeron;47.056624;7.06633
Nice-Ville;43.704825;7.261765
Pougny-Chancy;46.146089;5.961152
Zürich Hardbrücke;47.385198;8.517108
Neumünster;54.075752;9.979815
Bielefeld Hbf;52.029259;8.532723
Koblenz Hbf;50.350928;7.588343
Linthal;46.92557;8.99778
Arth-Goldau;47.049154;8.549488
Frankfurt (Main) Süd;50.099365;8.686456
Otelfingen Golfpark;47.455817;8.4021
Küsnacht Goldbach;47.326858;8.575952
Kirchberg-Alchenflüh;47.083493;7.580136
Rivaz;46.474195;6.78459
Langendorf;47.217935;7.513004
Villette VD;46.495329;6.707283
Zell am See;47.32052;12.796567
Hunzenschwil;47.388281;8.125682
Kreuzlingen;47.652555;9.169069
Hamburg Dammtor;53.560751;9.989569
Meilen;47.269812;8.644297
Nänikon-Greifensee;47.369359;8.686402
Mezzovico;46.094284;8.928581
Bludenz;47.154723;9.814567
Schübelbach-Buttikon;47.176387;8.938765
Sargans;47.045361;9.445398
Wangen bei Olten;47.341402;7.868348
Courchavon;47.439762;7.057638
Domdidier;46.868507;7.011379
Sangiano;45.874372;8.630822
Vufflens-la-Ville;46.576241;6.530762
S. Antonino;46.160444;8.973922
Winterthur Wallrüti;47.516719;8.760869
Tannay;46.307634;6.181127
Seyssel-Corbonod;45.963032;5.831347
Buggingen;47.855253;7.628165
Wetzikon;47.31803;8.792268
Delle;47.505995;7.009438
Rothenburg Dorf;47.090909;8.273177
Porrentruy;47.420912;7.080075
Fulda;50.554722;9.68398
Court;47.240588;7.342092
Virieu-le-Grand-Belley;45.848276;5.653765
Twann;47.09366;7.156492
Birmensdorf ZH;47.35743;8.437545
Bassecourt;47.336683;7.246843
Glanzenberg;47.398879;8.42042
Fahrnau;47.661562;7.839421
Biberist Ost;47.18063;7.566346
Gisikon-Root;47.121328;8.394774
Ligerz;47.083762;7.135143
Lommiswil;47.218583;7.469497
Zürich Wiedikon;47.371471;8.523464
Riehen Niederholz;47.569477;7.633442
Ennenda;47.032955;9.077181
Winkel am Zürichsee;47.297202;8.598973
Berlin Südkreuz;52.475043;13.365315
Worms Hbf;49.634937;8.356444
Münsingen;46.873343;7.559425
Aathal;47.335955;8.765606
Pino-Tronzano;46.10526;8.734531
Rouffach;47.960319;7.312617
S. Nazzaro;46.135167;8.807056
Pratteln Salina Raurica;47.530571;7.709868
Grandvaux;46.496938;6.722646
Ambérieu;45.953818;5.341489
Faido;46.483076;8.790704
Schwanden GL;46.996846;9.077451
Flawil;47.415186;9.189762
Suhr;47.371633;8.082273
St. Gallen;47.423177;9.369879
Flums;47.096617;9.347918
Saalfelden;47.426854;12.829764
Brescia;45.532161;10.21287
Neuhausen;47.683136;8.624916
Benzenschwil;47.246845;8.365595
Riegel a. K., Breite;48.150198;7.741519
Luzern Verkehrshaus;47.053927;8.337279
Rosé;46.782624;7.061971
Jenbach;47.388452;11.778458
Leipzig Hbf;51.346546;12.383333
Venezia Mestre;45.481903;12.231901
Rheinweiler;47.709529;7.531639
Sulgen;47.538796;9.183677
Naumburg (Saale) Hbf;51.163067;11.796985
Milano Centrale;45.486388;9.204711
Emmenbrücke Gersag;47.078315;8.2768
Diepholz;52.604775;8.380338
Schöfflisdorf-Oberweningen;47.497967;8.411791
Waldshut;47.621371;8.21953
St. Margrethen;47.45321;9.638252
Eschenbach;47.132394;8.32278
Cadenazzo;46.152624;8.941687
Singen (Hohentwiel);47.758439;8.840379
Les Tuileries;46.249941;6.147336
Rüti ZH;47.260481;8.854069
Moudon;46.668056;6.802506
Dietikon;47.405774;8.404968
Sion;46.227549;7.35919
Zug Fridbach;47.156575;8.512272
Tecknau;47.445758;7.887603
Como S. Giovanni;45.808975;9.072714
Wynigen;47.105166;7.663493
Denges-Echandens;46.529119;6.540506
Landquart;46.967442;9.554032
Magadino-Vira;46.145325;8.850177
Trey;46.779954;6.916247
Lörrach Schwarzwaldstrasse;47.620895;7.69269
Märstetten;47.582817;9.062178
La Heutte;47.189485;7.225386
Busto Arsizio;45.615905;8.865791
Teningen-Mundingen;48.128776;7.824409
Dornach-Arlesheim;47.48861;7.611104
Kerzers;46.975065;7.1928
Melide;45.955724;8.948348
Feldbach;47.239195;8.783486
Lörrach-Brombach, Bahnhof;47.637076;7.695431
Les Esserts-de-Rive;46.632028;6.260519
Sempach-Neuenkirch;47.116052;8.195969
Erstfeld;46.820343;8.650445
Maroggia-Melano;45.932442;8.97394
St. Pölten Hbf;48.208304;15.624672
Dompierre;46.854403;6.985356
Niederhasli;47.478326;8.488694
Bonn Hbf;50.732008;7.097136
Buchrain;47.093642;8.356633
Môtiers;46.911853;6.610335
Olten;47.351929;7.907685
Zürich Tiefenbrunnen;47.350122;8.561371
Seregno;45.644518;9.202122
Döttingen;47.575266;8.25634
Merlischachen;47.067654;8.40904
Walchwil;47.098685;8.516929
Le Brassus;46.585778;6.214288
St-Imier;47.151703;7.001213
Thayngen;47.745503;8.7043
Tuttlingen;47.98058;8.798543
Muri AG;47.276662;8.339796
Laufen;47.419339;7.502631
Otelfingen;47.454936;8.387511
Oberwinterthur;47.507918;8.760366
Hanau Hbf;50.120957;8.929003
Mainz Hbf;50.001113;8.258723
Erfurt Hbf;50.97255;11.038502
Clarens;46.442733;6.895778
Rottweil;48.1653;8.639299
Cannes;43.554193;7.020324
Knonau;47.220264;8.466706
Kloten Balsberg;47.442288;8.570702
Bonstetten-Wettswil;47.325896;8.468171
St. Anton am Arlberg;47.127567;10.266994
Estavayer-le-Lac;46.844497;6.842957
Ins;46.99983;7.099555
Peschiera del Garda;45.437577;10.701182
Hochdorf;47.166976;8.288684
Duggingen;47.453435;7.603445
Bad Ragaz;47.010303;9.505212
Buchloe;48.033725;10.716221
Root D4;47.10486;8.373802
Schopfheim West;47.64122;7.823204
Lahr (Schwarzw);48.340436;7.834737
Renens VD;46.53703;6.578935
Basel Dreispitz;47.537862;7.608937
Hamburg-Harburg;53.45591;9.991699
Arnex;46.698071;6.518905
Matran;46.788934;7.096327
Gelterkinden;47.465885;7.847655
Baar Lindenpark;47.183138;8.517046
St-Raphaël-Valescure;43.422771;6.770127
Renan BE;47.125715;6.925371
Genève;46.2102;6.142455
Kölliken;47.337294;8.026441
Morteau;47.05373;6.604878
Satigny;46.214218;6.037506
Schänis;47.157654;9.043966
Niederbipp;47.270397;7.694811
Courgenay;47.405217;7.124194
Buchs SG;47.168405;9.478631
Vauderens;46.621447;6.850032
Lüneburg;53.249652;10.419891
Bussigny;46.547583;6.551815
Bulle;46.618193;7.05504
St-Prex;46.482303;6.4559
Uster;47.350365;8.718692
Heidelberg Hbf;49.403564;8.675444
Buix;47.479324;7.029951
Hannover Hbf;52.376764;9.741017
Lutherstadt Wittenberg;51.867813;12.662286
Chexbres-Village;46.481054;6.778541
Colmegna;46.023143;8.755826
Faulensee;46.673764;7.697904
Marthalen;47.63108;8.6561
Sélestat;48.260298;7.443041
Zürich Wollishofen;47.347443;8.533586
Bitterfeld;51.622857;12.316849
Solothurn;47.204182;7.542687
Liestal;47.484457;7.731352
Herblingen;47.716999;8.664127
Dübendorf;47.400075;8.623406
Courtelary;47.175623;7.068793
Baar;47.195364;8.523257
Quartino;46.151302;8.88732
Ostermundigen;46.956799;7.481488
Kemptthal;47.452833;8.705567
Wiesendangen;47.525537;8.776016
Däniken;47.356387;7.978753
Thun;46.754856;7.629594
Amriswil;47.550446;9.302217
Bischofshofen;47.417856;13.219887
Flüelen;46.901722;8.624296
Schallstadt;47.95595;7.753888
Brittnau-Wikon;47.262666;7.957018
Frankfurt (M) Flughafen Fernb.;50.053169;8.570181
Kleinkems;47.68613;7.524663
Eschlikon;47.461489;8.958515
Avignon TGV;43.921933;4.786046
Mägenwil;47.414503;8.235135
Münchenstein;47.513384;7.617585
Waldibrücke;47.10789;8.319687
Interlaken Ost;46.690502;7.869004
Cossonay-Penthalaz;46.606004;6.523679
Sentier-Orient;46.60577;6.231394
Ecublens-Rue;46.610417;6.811055
Düsseldorf Hbf;51.21996;6.794317
Albate-Camerlata;45.783185;9.079833
Sierentz;47.656106;7.45933
